,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.2 Total Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.3 Total Costs,A.3_Expected Number of Deaths,A.3_Expected Annual Damage,A.4 Total Costs,A.4_Expected Number of Deaths,A.4_Expected Annual Damage,A.5 Total Costs,A.5_Expected Number of Deaths,A.5_Expected Annual Damage,RfR Total Costs,Expected Evacuation Costs
0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,7,2,5,4,0,3,8,8,1,3,9,7,3,7,6,188303187.5061465,0.0,0.0,108083458.32956028,0.0,0.0,120818752.94409646,0.0,0.0,49865841.98299449,0.0,0.0,136711771.50693655,0.0012482235063046145,1123249.345728516,1511300000.0,0.0
1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,4,7,1,8,0,0,6,1,5,3,1,9,4,1,0,173103375.1786149,0.0,0.0,81277411.11097889,0.0,0.0,92666736.39115658,0.0,0.0,36198674.08227548,0.0,0.0,85055205.70369875,0.026019941895629214,23039265.09764574,710400000.0,0.0
2,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,10,2,5,8,10,2,2,7,0,7,5,9,4,2,3,228015577.4745766,0.0,0.0,289891425.0881098,0.0,0.0,58768098.74581756,0.0,0.0,55419981.25210799,0.0,0.0,103397210.36332726,0.0015133214764847004,1343928.660111631,660100000.0,0.0
3,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,10,1,0,5,2,2,5,1,5,2,7,7,0,4,3,140858582.2512416,0.0,0.0,164233797.24580663,0.0,0.0,88041933.47495925,0.0,0.0,42062624.8918702,0.00012521302046833484,180099.94735371802,103607988.42748317,0.03859493224910794,35513270.66472689,1041800000.0,0.0
4,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,4,2,9,0,1,6,3,0,1,4,1,2,3,4,0,3,128446235.06223166,0.0,0.0,169662502.8868311,0.0003685395576487937,2586705.0618330874,52457780.70639433,0.0012806364138848547,4852887.465988279,23253361.287507407,0.0,0.0,68094717.76275629,0.0,0.0,1049400000.0,504.60045429825146
5,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,4,5,3,2,6,2,4,0,1,0,3,5,3,7,1,166809149.72620058,0.0,0.0,172077462.62975118,0.0011163982558677434,2599856.7229275885,49622725.1402255,0.0,0.0,22656560.06767277,0.00042650378675472697,1960477.5813768317,130368058.00499418,0.006473153431809804,16100506.539452553,1184300000.0,766.9640573817128
6,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,4,10,8,8,7,1,6,0,8,5,1,10,5,0,3,2,341570554.67310494,0.0,0.0,208114696.50811112,0.0,0.0,83388226.03728054,0.0022157911158520944,8423554.358250517,43587358.230948105,1.3382761000001708e-05,167433.8555719912,99356981.60388625,0.00502130289760171,38502405.14729375,575500000.0,4110.1387573116535
7,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,3,1,0,4,3,2,7,1,4,5,4,3,2,5,9,6,82177854.37813279,0.0,0.0,181929770.05412728,0.0,0.0,81671571.53417823,0.0,0.0,28640895.65434783,0.0,0.0,175983371.6606223,0.0016391185053737524,12012775.302503828,1263000000.0,910.9010391282507
8,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,6,7,5,2,0,6,6,6,5,4,5,0,8,8,10,227611503.21716845,0.0,0.0,114640521.00912102,0.00016959546093315092,1186249.1149237265,112910645.1005051,0.0,0.0,22356212.824753046,0.0,0.0,211465475.07636937,0.0,0.0,351800000.0,78.0099354811029
9,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,6,5,4,5,1,2,0,6,2,4,3,8,7,3,1,195988468.25188863,0.0,0.0,157033933.49482566,0.0,0.0,73382741.66633745,0.03260397661231236,14864753.646790002,39745013.73511774,0.0,0.0,117628654.87407616,0.0,0.0,538900000.0,0.0
